name,province,country,description,cover_image,latitude,longitude
克拉玛依,新疆维吾尔自治区,中国,,,45.577712,84.889239
吐鲁番,新疆维吾尔自治区,中国,,,42.972736,89.250261
哈密,新疆维吾尔自治区,中国,,,42.819346,93.515053
新星,新疆维吾尔自治区,中国,,,42.797043,93.74831
图木舒克,新疆维吾尔自治区,中国,,,39.867776,79.074965
阿克苏地区,新疆维吾尔自治区,中国,,,41.170712,80.265068
乌鲁木齐,新疆维吾尔自治区,中国,,,43.825377,87.616824
胡杨河,新疆维吾尔自治区,中国,,,44.692894,84.827592
五家渠,新疆维吾尔自治区,中国,,,44.166489,87.542852
白杨,新疆维吾尔自治区,中国,,,46.727959,82.896936
克孜勒苏柯尔克孜自治州,新疆维吾尔自治区,中国,,,39.716236,76.168157
襄阳,湖北省,中国,,,32.010161,112.121743
十堰,湖北省,中国,,,32.629057,110.798921
宜昌,湖北省,中国,,,30.69217,111.286962
武汉,湖北省,中国,,,30.593354,114.304569
黄冈,湖北省,中国,,,30.453722,114.872425
天门,湖北省,中国,,,30.663706,113.166545
孝感,湖北省,中国,,,30.918311,113.956962
潜江,湖北省,中国,,,30.401954,112.900279
荆门,湖北省,中国,,,31.035445,112.199009
恩施土家族苗族自治州,湖北省,中国,,,30.272104,109.488076
仙桃,湖北省,中国,,,30.328407,113.442973
荆州,湖北省,中国,,,30.336282,112.24143
咸宁,湖北省,中国,,,29.84135,114.322601
神农架林区,湖北省,中国,,,31.745103,110.675879
随州,湖北省,中国,,,31.690275,113.382324
鄂州,湖北省,中国,,,30.391461,114.894909
黄石,湖北省,中国,,,30.201082,115.038999
葫芦岛,辽宁省,中国,,,40.710974,120.836783
大连,辽宁省,中国,,,38.913962,121.614786
丹东,辽宁省,中国,,,40.000646,124.354419
锦州,辽宁省,中国,,,41.096114,121.126859
沈阳,辽宁省,中国,,,41.677576,123.464675
铁岭,辽宁省,中国,,,42.223709,123.726008
阜新,辽宁省,中国,,,42.022028,121.670052
本溪,辽宁省,中国,,,41.486921,123.685054
辽阳,辽宁省,中国,,,41.267396,123.239669
抚顺,辽宁省,中国,,,41.881311,123.957053
盘锦,辽宁省,中国,,,40.71956,122.170729
朝阳,辽宁省,中国,,,41.601855,120.488801
鞍山,辽宁省,中国,,,41.108239,122.994183
营口,辽宁省,中国,,,40.625027,122.219148
东营,山东省,中国,,,37.433992,118.674633
滨州,山东省,中国,,,37.382687,117.970731
烟台,山东省,中国,,,37.464551,121.447755
威海,山东省,中国,,,37.513315,122.120519
青岛,山东省,中国,,,36.066938,120.382665
聊城,山东省,中国,,,36.455857,115.985238
济南,山东省,中国,,,36.652069,117.120128
临沂,山东省,中国,,,35.103771,118.356464
菏泽,山东省,中国,,,35.234309,115.479646
德州,山东省,中国,,,37.436492,116.359244
日照,山东省,中国,,,35.416912,119.52685
枣庄,山东省,中国,,,34.810858,117.323759
济宁,山东省,中国,,,35.415117,116.587116
淄博,山东省,中国,,,36.813787,118.054994
潍坊,山东省,中国,,,36.707668,119.161721
泰安,山东省,中国,,,36.201784,117.086963
上海城区,上海市,中国,,,31.231706,121.472644
遵义,贵州省,中国,,,27.721931,107.031922
铜仁,贵州省,中国,,,27.731555,109.189528
六盘水,贵州省,中国,,,26.592538,104.830357
黔南布依族苗族自治州,贵州省,中国,,,26.253136,107.522303
安顺,贵州省,中国,,,26.253103,105.9476
黔西南布依族苗族自治州,贵州省,中国,,,25.087733,104.906419
黔东南苗族侗族自治州,贵州省,中国,,,26.583759,107.982838
毕节,贵州省,中国,,,27.283615,105.291544
贵阳,贵州省,中国,,,26.646694,106.628201
重庆郊县,重庆市,中国,,,29.291965,108.170255
重庆城区,重庆市,中国,,,29.533155,106.504962
铜陵,安徽省,中国,,,30.945214,117.811298
池州,安徽省,中国,,,30.674264,117.495663
安庆,安徽省,中国,,,30.531828,117.115349
淮北,安徽省,中国,,,33.956264,116.798362
马鞍山,安徽省,中国,,,31.668765,118.50685
六安,安徽省,中国,,,31.735892,116.519729
阜阳,安徽省,中国,,,32.891032,115.814252
滁州,安徽省,中国,,,32.255904,118.333439
黄山,安徽省,中国,,,29.714886,118.337643
蚌埠,安徽省,中国,,,32.91682,117.388566
合肥,安徽省,中国,,,31.820567,117.227267
芜湖,安徽省,中国,,,31.352614,118.433065
宣城,安徽省,中国,,,30.939278,118.759127
宿州,安徽省,中国,,,33.647726,116.96419
亳州,安徽省,中国,,,33.846285,115.778588
淮南,安徽省,中国,,,32.585384,117.018603
宁德,福建省,中国,,,26.666222,119.547729
福州,福建省,中国,,,26.074286,119.296411
莆田,福建省,中国,,,25.454202,119.007662
厦门,福建省,中国,,,24.479627,118.08891
泉州,福建省,中国,,,24.874452,118.675724
漳州,福建省,中国,,,24.515297,117.647298
三明,福建省,中国,,,26.263455,117.638919
南平,福建省,中国,,,27.382829,118.081325
龙岩,福建省,中国,,,25.075884,117.017362
岳阳,湖南省,中国,,,29.35648,113.128922
怀化,湖南省,中国,,,27.569813,110.001598
湘西土家族苗族自治州,湖南省,中国,,,28.215983,109.673345
张家界,湖南省,中国,,,29.117343,110.478887
娄底,湖南省,中国,,,27.699838,111.994468
永州,湖南省,中国,,,26.419861,111.613482
常德,湖南省,中国,,,29.031446,111.69905
湘潭,湖南省,中国,,,27.83136,112.945439
邵阳,湖南省,中国,,,27.239528,111.467855
郴州,湖南省,中国,,,25.770117,113.015517
株洲,湖南省,中国,,,27.828862,113.132783
衡阳,湖南省,中国,,,26.894216,112.572016
长沙,湖南省,中国,,,28.228304,112.938882
益阳,湖南省,中国,,,28.554853,112.355994
屯昌县,海南省,中国,,,19.351662,110.101667
白沙黎族自治县,海南省,中国,,,19.221641,109.4429
琼中黎族苗族自治县,海南省,中国,,,19.03327,109.838423
东方,海南省,中国,,,19.095187,108.651829
乐东黎族自治县,海南省,中国,,,18.750063,109.173384
陵水黎族自治县,海南省,中国,,,18.506045,110.037553
三沙,海南省,中国,,,16.831004,112.338649
文昌,海南省,中国,,,19.544234,110.797473
临高县,海南省,中国,,,19.912025,109.690508
三亚,海南省,中国,,,18.252865,109.511709
保亭黎族苗族自治县,海南省,中国,,,18.640339,109.700279
五指山,海南省,中国,,,18.774827,109.516784
昌江黎族自治县,海南省,中国,,,19.298139,109.055783
澄迈县,海南省,中国,,,19.738885,110.007497
定安县,海南省,中国,,,19.681215,110.358001
海口,海南省,中国,,,20.046316,110.200162
儋州,海南省,中国,,,19.520948,109.580812
万宁,海南省,中国,,,18.793697,110.392605
琼海,海南省,中国,,,19.259112,110.474524
南通,江苏省,中国,,,31.981269,120.894522
连云港,江苏省,中国,,,34.596639,119.221487
南京,江苏省,中国,,,32.059344,118.796624
苏州,江苏省,中国,,,31.299758,120.585294
宿迁,江苏省,中国,,,33.963186,118.275228
淮安,江苏省,中国,,,33.551495,119.113166
徐州,江苏省,中国,,,34.204224,117.283752
常州,江苏省,中国,,,31.811313,119.974092
盐城,江苏省,中国,,,33.348176,120.16263
泰州,江苏省,中国,,,32.456692,119.922883
扬州,江苏省,中国,,,32.394404,119.412834
镇江,江苏省,中国,,,32.188141,119.424441
无锡,江苏省,中国,,,31.491064,120.311889
海东,青海省,中国,,,36.473448,102.41064
海南藏族自治州,青海省,中国,,,36.296399,100.622647
海西蒙古族藏族自治州,青海省,中国,,,37.348114,97.33197
玉树藏族自治州,青海省,中国,,,33.006308,97.006292
黄南藏族自治州,青海省,中国,,,35.519317,102.015397
果洛藏族自治州,青海省,中国,,,34.472179,100.245161
海北藏族自治州,青海省,中国,,,36.954612,100.900944
西宁,青海省,中国,,,36.676027,101.758249
百色,广西壮族自治区,中国,,,23.90307,106.61869
钦州,广西壮族自治区,中国,,,21.980894,108.654355
北海,广西壮族自治区,中国,,,21.481305,109.120248
防城港,广西壮族自治区,中国,,,21.686732,108.35467
柳州,广西壮族自治区,中国,,,24.326442,109.428071
来宾,广西壮族自治区,中国,,,23.750105,109.221243
梧州,广西壮族自治区,中国,,,23.476733,111.279022
贵港,广西壮族自治区,中国,,,23.11182,109.598903
玉林,广西壮族自治区,中国,,,22.654001,110.18097
崇左,广西壮族自治区,中国,,,22.377139,107.364973
贺州,广西壮族自治区,中国,,,24.404182,111.567216
南宁,广西壮族自治区,中国,,,22.8177,108.366407
河池,广西壮族自治区,中国,,,24.48523,108.63639
桂林,广西壮族自治区,中国,,,25.235615,110.179752
石嘴山,宁夏回族自治区,中国,,,38.984632,106.382792
固原,宁夏回族自治区,中国,,,36.01628,106.24267
中卫,宁夏回族自治区,中国,,,37.500185,105.19677
银川,宁夏回族自治区,中国,,,38.487783,106.230977
吴忠,宁夏回族自治区,中国,,,37.997755,106.198613
舟山,浙江省,中国,,,29.985578,122.207395
嘉兴,浙江省,中国,,,30.746814,120.755623
宁波,浙江省,中国,,,29.860258,121.62454
台州,浙江省,中国,,,28.655716,121.42079
温州,浙江省,中国,,,27.993849,120.699279
丽水,浙江省,中国,,,28.467694,119.923249
衢州,浙江省,中国,,,28.970229,118.859307
金华,浙江省,中国,,,29.079195,119.647265
湖州,浙江省,中国,,,30.894178,120.086881
杭州,浙江省,中国,,,30.246566,120.209903
绍兴,浙江省,中国,,,30.051549,120.582886
唐山,河北省,中国,,,39.63068,118.180149
秦皇岛,河北省,中国,,,39.888243,119.52022
邯郸,河北省,中国,,,36.625849,114.53915
石家庄,河北省,中国,,,38.042007,114.514976
廊坊,河北省,中国,,,39.538304,116.683546
保定,河北省,中国,,,38.874476,115.464523
张家口,河北省,中国,,,40.768931,114.885895
邢台,河北省,中国,,,37.060227,114.49742
承德,河北省,中国,,,40.952942,117.962749
衡水,河北省,中国,,,37.739367,115.668987
沧州,河北省,中国,,,38.304676,116.838715
北区,香港特别行政区,中国,,,22.49610389,114.1473639
油尖旺区,香港特别行政区,中国,,,22.31170389,114.1733317
西贡区,香港特别行政区,中国,,,22.31421306,114.264645
九龙城区,香港特别行政区,中国,,,22.31251,114.1928467
沙田区,香港特别行政区,中国,,,22.37953167,114.1953653
大埔区,香港特别行政区,中国,,,22.44565306,114.1717431
屯门区,香港特别行政区,中国,,,22.39384417,113.9765742
深水埗区,香港特别行政区,中国,,,22.33385417,114.1632417
观塘区,香港特别行政区,中国,,,22.32083778,114.2140542
黄大仙区,香港特别行政区,中国,,,22.33632056,114.2038856
东区,香港特别行政区,中国,,,22.279693,114.226003
离岛区,香港特别行政区,中国,,,22.28640778,113.94612
中西区,香港特别行政区,中国,,,22.28198083,114.1543731
南区,香港特别行政区,中国,,,22.24589667,114.1600117
元朗区,香港特别行政区,中国,,,22.44142833,114.0324381
荃湾区,香港特别行政区,中国,,,22.36830667,114.1210792
葵青区,香港特别行政区,中国,,,22.36387667,114.1393194
湾仔区,香港特别行政区,中国,,,22.27638889,114.1829153
花地玛堂区,澳门特别行政区,中国,,,22.20787,113.5528956
望德堂区,澳门特别行政区,中国,,,22.19372083,113.5501828
圣方济各堂区,澳门特别行政区,中国,,,22.12348639,113.5599542
花王堂区,澳门特别行政区,中国,,,22.1992075,113.5489608
路氹填海区,澳门特别行政区,中国,,,22.13663,113.5695992
嘉模堂区,澳门特别行政区,中国,,,22.15375944,113.5587044
大堂区,澳门特别行政区,中国,,,22.18853944,113.5536475
风顺堂区,澳门特别行政区,中国,,,22.18736806,113.5419278
嘉峪关,甘肃省,中国,,,39.77325,98.2882
酒泉,甘肃省,中国,,,39.733416,98.49432
兰州,甘肃省,中国,,,36.060798,103.834228
平凉,甘肃省,中国,,,35.542417,106.664913
金昌,甘肃省,中国,,,38.521468,102.187972
天水,甘肃省,中国,,,34.581514,105.724828
白银,甘肃省,中国,,,36.545123,104.138872
武威,甘肃省,中国,,,37.92898,102.637821
张掖,甘肃省,中国,,,38.924766,100.449858
定西,甘肃省,中国,,,35.607947,104.592342
甘南藏族自治州,甘肃省,中国,,,34.983266,102.911736
庆阳,甘肃省,中国,,,35.709459,107.643433
临夏回族自治州,甘肃省,中国,,,35.601792,103.210386
陇南,甘肃省,中国,,,33.370174,104.960296
广元,四川省,中国,,,32.435774,105.844004
南充,四川省,中国,,,30.837235,106.110565
巴中,四川省,中国,,,31.867853,106.747548
德阳,四川省,中国,,,31.127449,104.397795
绵阳,四川省,中国,,,31.467673,104.679127
成都,四川省,中国,,,30.572961,104.066301
广安,四川省,中国,,,30.456354,106.632647
达州,四川省,中国,,,31.209278,107.46778
遂宁,四川省,中国,,,30.53268,105.592602
资阳,四川省,中国,,,30.129236,104.627265
眉山,四川省,中国,,,30.077113,103.848417
内江,四川省,中国,,,29.58021,105.057992
乐山,四川省,中国,,,29.552275,103.766085
自贡,四川省,中国,,,29.33924,104.779307
泸州,四川省,中国,,,28.87098,105.441866
宜宾,四川省,中国,,,28.752354,104.642826
凉山彝族自治州,四川省,中国,,,27.881396,102.267713
攀枝花,四川省,中国,,,26.558645,101.729116
甘孜藏族自治州,四川省,中国,,,30.04952,101.96231
雅安,四川省,中国,,,30.009998,103.041538
阿坝藏族羌族自治州,四川省,中国,,,31.899427,102.224504
天津城区,天津市,中国,,,39.125596,117.190182
阳泉,山西省,中国,,,37.857094,113.580426
大同,山西省,中国,,,40.09711,113.366749
吕梁,山西省,中国,,,37.518996,111.14454
运城,山西省,中国,,,35.02667,111.007051
晋城,山西省,中国,,,35.491315,112.852022
长治,山西省,中国,,,36.195142,113.117394
朔州,山西省,中国,,,39.331734,112.432906
忻州,山西省,中国,,,38.415958,112.734149
临汾,山西省,中国,,,36.088581,111.51931
太原,山西省,中国,,,37.870451,112.549656
晋中,山西省,中国,,,37.688006,112.752633
商洛,陕西省,中国,,,33.873358,109.918646
汉中,陕西省,中国,,,33.066373,107.02319
西安,陕西省,中国,,,34.343207,108.939645
榆林,陕西省,中国,,,38.28576,109.734104
咸阳,陕西省,中国,,,34.329896,108.708837
宝鸡,陕西省,中国,,,34.362862,107.237682
安康,陕西省,中国,,,32.685435,109.029017
延安,陕西省,中国,,,36.650109,109.49468
铜川,陕西省,中国,,,34.897133,108.945116
渭南,陕西省,中国,,,34.520632,109.470962
北京城区,北京市,中国,,,39.904989,116.405285
新余,江西省,中国,,,27.818553,114.916665
吉安,江西省,中国,,,27.091243,114.96681
抚州,江西省,中国,,,27.948979,116.358054
鹰潭,江西省,中国,,,28.272092,117.039532
宜春,江西省,中国,,,27.816245,114.416826
萍乡,江西省,中国,,,27.658721,113.887147
景德镇,江西省,中国,,,29.2744,117.184892
九江,江西省,中国,,,29.66116,115.95356
南昌,江西省,中国,,,28.682976,115.857972
上饶,江西省,中国,,,28.45513,117.943064
赣州,江西省,中国,,,25.831139,114.933494
吉林,吉林省,中国,,,43.838132,126.549719
长春,吉林省,中国,,,43.816996,125.323643
白城,吉林省,中国,,,45.620131,122.838102
松原,吉林省,中国,,,45.14191,124.825321
四平,吉林省,中国,,,43.166764,124.350599
辽源,吉林省,中国,,,42.887961,125.144676
通化,吉林省,中国,,,41.728312,125.939721
延边朝鲜族自治州,吉林省,中国,,,42.909426,129.470605
白山,吉林省,中国,,,41.944132,126.414274
昌都,西藏自治区,中国,,,31.142879,97.170425
那曲,西藏自治区,中国,,,31.477905,92.05151
拉萨,西藏自治区,中国,,,29.653491,91.171924
日喀则,西藏自治区,中国,,,29.266838,88.880423
山南,西藏自治区,中国,,,29.237722,91.771426
林芝,西藏自治区,中国,,,29.64875,94.361436
阿里地区,西藏自治区,中国,,,32.500987,80.105786
昭通,云南省,中国,,,27.338185,103.717078
曲靖,云南省,中国,,,25.490866,103.796288
红河哈尼族彝族自治州,云南省,中国,,,23.363129,103.374873
怒江傈僳族自治州,云南省,中国,,,25.817555,98.8566
玉溪,云南省,中国,,,24.346786,102.526673
大理白族自治州,云南省,中国,,,25.606548,100.267608
迪庆藏族自治州,云南省,中国,,,27.819149,99.70211
保山,云南省,中国,,,25.112018,99.161489
丽江,云南省,中国,,,26.855165,100.225936
西双版纳傣族自治州,云南省,中国,,,22.009037,100.797002
楚雄彝族自治州,云南省,中国,,,25.045678,101.528304
昆明,云南省,中国,,,24.88149,102.833669
普洱,云南省,中国,,,22.825229,100.966011
德宏傣族景颇族自治州,云南省,中国,,,24.433146,98.585621
文山壮族苗族自治州,云南省,中国,,,23.400983,104.21567
临沧,云南省,中国,,,23.884175,100.088837
南投县,台湾省,中国,,,23.900005,120.694275
花莲县,台湾省,中国,,,23.988516,121.623496
苗栗县,台湾省,中国,,,24.561954,120.824518
台中,台湾省,中国,,,24.159004,120.650551
彰化县,台湾省,中国,,,24.072772,120.548249
云林县,台湾省,中国,,,23.696393,120.530168
台东县,台湾省,中国,,,22.753016,121.154219
屏东县,台湾省,中国,,,22.680205,120.491753
台南,台湾省,中国,,,22.989779,120.189139
高雄,台湾省,中国,,,22.617884,120.315976
嘉义,台湾省,中国,,,23.478892,120.457655
新竹县,台湾省,中国,,,24.824113,121.016866
新竹,台湾省,中国,,,24.803902,120.972758
桃园,台湾省,中国,,,24.990196,121.305055
基隆,台湾省,中国,,,25.129044,121.74826
台北,台湾省,中国,,,25.034604,121.568125
宜兰县,台湾省,中国,,,24.727859,121.766995
澎湖县,台湾省,中国,,,23.567415,119.570841
嘉义县,台湾省,中国,,,23.456215,120.296873
新北,台湾省,中国,,,25.009612,121.469601
